"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"116";114;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,670071;8;"2018-08-30 09:10:34"
"117";115;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,926238;4;"2018-08-30 09:10:34"
"118";116;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;1,811216;1;"2018-08-30 09:10:35"
"119";117;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,100986;12;"2018-08-30 09:10:36"
"120";118;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,259319;8;"2018-08-30 09:10:37"
"121";119;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,74784;4;"2018-08-30 09:10:37"
"122";120;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;3,409659;1;"2018-08-30 09:10:38"
"123";121;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;2,094508;12;"2018-08-30 09:10:41"
"124";122;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;2,342187;8;"2018-08-30 09:10:41"
"125";123;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;3,273661;4;"2018-08-30 09:10:42"
"126";124;"paraBitset";499945;"vector";"barabasi";"050k.edges";"orac";50000;6,501875;1;"2018-08-30 09:10:45"
"127";125;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;2,899174;12;"2018-08-30 09:10:50"
"128";126;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;3,313596;8;"2018-08-30 09:10:50"
"129";127;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;4,619366;4;"2018-08-30 09:10:52"
"130";128;"paraBitset";599945;"vector";"barabasi";"060k.edges";"orac";60000;9,266767;1;"2018-08-30 09:10:58"
"131";129;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;3,988283;12;"2018-08-30 09:11:02"
"132";130;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;4,525389;8;"2018-08-30 09:11:03"
"133";131;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;6,265689;4;"2018-08-30 09:11:06"
"134";132;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;5,13391;12;"2018-08-30 09:11:19"
"135";133;"paraBitset";699945;"vector";"barabasi";"070k.edges";"orac";70000;12,616081;1;"2018-08-30 09:11:17"
"136";134;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;5,789804;8;"2018-08-30 09:11:21"
"137";135;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;8,143458;4;"2018-08-30 09:11:25"
"138";136;"paraBitset";799945;"vector";"barabasi";"080k.edges";"orac";80000;16,312372;1;"2018-08-30 09:11:42"
"139";137;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,014084;24;"2018-08-30 09:12:19"
"140";138;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,012888;24;"2018-08-30 09:12:19"
"141";139;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,020397;16;"2018-08-30 09:12:19"
"142";140;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,015386;20;"2018-08-30 09:12:19"
"143";141;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,014248;16;"2018-08-30 09:12:19"
"144";142;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,021298;24;"2018-08-30 09:12:19"
"145";143;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,002427;20;"2018-08-30 09:12:19"
"146";144;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,023885;16;"2018-08-30 09:12:19"
"147";145;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,020927;20;"2018-08-30 09:12:19"
"148";146;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,038342;24;"2018-08-30 09:12:19"
"149";147;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,032777;16;"2018-08-30 09:12:19"
"150";148;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,031381;20;"2018-08-30 09:12:19"
"151";149;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,053296;24;"2018-08-30 09:12:19"
"152";150;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,047373;16;"2018-08-30 09:12:19"
"153";151;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,047864;20;"2018-08-30 09:12:19"
"154";152;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,198057;24;"2018-08-30 09:12:19"
"155";153;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,20811;16;"2018-08-30 09:12:19"
"156";154;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,202603;20;"2018-08-30 09:12:19"
"157";155;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,541375;24;"2018-08-30 09:12:20"
"158";156;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,522436;16;"2018-08-30 09:12:20"
"159";157;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,52418;20;"2018-08-30 09:12:20"
"160";158;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,020208;24;"2018-08-30 09:12:23"
"161";159;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,248276;20;"2018-08-30 09:12:23"
"162";160;"paraBitset";399945;"vector";"barabasi";"040k.edges";"orac";40000;1,365023;16;"2018-08-30 09:12:23"
